ride_id,rideable_type,ride_hour,ride_weekday,ride_month,ride_duration_minutes,start_station_id,start_lat,start_lng,end_lat,end_lng,is_weekend,trip_distance_km,label
0003309AC36D59D2,electric_bike,20,2,10,12.97,3978.13,40.6711978,-73.97484126,40.64499,-73.95818,0,3.2353780358797795,1.0
00037174BAB9F3A0,classic_bike,18,5,4,20.68,6578.01,40.75594159,-74.0021163,40.777507027547976,-73.98888587951659,0,2.644186709422514,1.0
000527F834B43231,classic_bike,14,7,4,51.08,7680.03,40.804213,-73.96699104,40.8013434,-73.9711457439,1,0.4734001632487433,1.0
000586511203E7EB,classic_bike,14,6,4,3.57,6131.13,40.74275179648995,-73.9847157150507,40.74848023448579,-73.98255586624146,1,0.662451088210562,1.0
0006C051CDF1685C,electric_bike,14,4,7,7.22,7161.08,40.77632142182271,-73.96427392959595,40.761573,-73.972628,0,1.7844835750548387,1.0
0007FF3DB16FD122,electric_bike,19,4,5,7.73,6943.07,40.767666,-73.910963,40.783956,-73.916894,0,1.8789525588113565,1.0
000C6FB067B1ADC9,electric_bike,15,7,4,14.95,5335.07,40.71511871996496,-73.98417055606842,40.727243,-73.976831,1,1.4832781471146603,1.0
000C72D8B3D5A041,electric_bike,13,1,10,79.12,6089.11,40.74069317733043,-73.98160636425018,40.7667405590595,-73.9790689945221,0,2.9042118644048056,1.0
000CA3D402CDC358,electric_bike,14,1,4,2.38,6560.15,40.7529728216068,-73.98734897375107,40.75492,-73.98455,0,0.32010014924696617,1.0
00129D499A8DD317,classic_bike,18,4,5,4.7,5303.08,40.71427487,-73.98990025,40.714211,-73.981095,0,0.7421639111961534,1.0
001391715C62A88B,electric_bike,17,1,12,5.6,6297.08,40.74649996333341,-73.99732626293645,40.73781509,-73.99994661,0,0.990624546315226,1.0
0014B57933F96F1A,electric_bike,17,2,4,15.08,6747.06,40.76227205,-73.98788205,40.78232260730881,-73.95987510681152,0,3.245458522002917,1.0
00167A9B2D093EA6,classic_bike,8,7,3,2.37,5414.06,40.72019576,-73.98997825,40.71893904,-73.99266288,1,0.26592561056742664,1.0
00187CA9B2CB90A9,classic_bike,15,3,5,14.22,6584.12,40.75510267,-73.97498696,40.74286877312112,-73.98918628692627,0,1.8114296404184755,1.0
001C5D3D082D720C,electric_bike,16,1,12,12.0,7655.22,40.8025566,-73.9490782,40.826406,-73.937948,0,2.812488910492914,1.0
001E1DF0F531D0F7,electric_bike,13,5,3,2.38,6131.12,40.742684734875695,-73.98671329021454,40.74765947,-73.98490707,0,0.5737117967396064,1.0
001E560F5CF7B906,electric_bike,13,1,12,5.67,5351.07,40.717411,-73.999573,40.711066,-74.009447,0,1.0910287622142691,1.0
0022E70269340B50,classic_bike,9,5,5,7.15,6224.03,40.74475148,-73.99915362,40.753773368360385,-73.99937599897385,0,1.003363101028917,1.0
002328EDB9544BE9,classic_bike,9,5,10,12.18,5847.08,40.73191132323174,-74.008769094944,40.73275887045087,-73.99581670761108,0,1.0954265467787507,1.0
002A97DF862406FF,classic_bike,11,1,4,14.0,6726.01,40.76030096,-73.99884222,40.76695317,-73.98169333,0,1.6226809239705053,1.0
002DFC329FF8E592,classic_bike,16,4,10,1.13,5736.09,40.72938685,-73.97772429,40.72746420692392,-73.97950418293476,0,0.26115134186124783,1.0
003028DDEA6A9ABA,electric_bike,7,2,5,22.35,6593.15,40.756951,-73.982631,40.70877084,-73.95095259,0,5.985500489558383,1.0
003544231E535BD0,classic_bike,10,7,10,1.18,6004.07,40.7381765,-73.97738662,40.73912601,-73.97973776,1,0.22446828608713287,1.0
00356A34A28DE5B2,classic_bike,9,2,3,15.65,5820.08,40.73153937464073,-73.9853024482727,40.745686,-74.005141,0,2.295239357947462,1.0
0037B6DD2C178643,electric_bike,20,2,5,17.92,5235.05,40.71260486,-73.96264403,40.70809,-73.89549,0,5.682471424700088,0.0
003B5369AD5FBB39,classic_bike,18,2,10,5.45,7014.12,40.77003010255044,-73.9819684624672,40.768333,-73.992573,0,0.9127611644661572,0.0
003EEDF9D010D4C0,classic_bike,12,4,3,2.75,5712.03,40.72951496224949,-73.99075269699097,40.72779126,-73.98564945,0,0.4708027869794182,1.0
003F72334E7D440D,classic_bike,9,4,3,10.27,4461.04,40.68940747,-73.96885458,40.69236178,-73.98631746,0,1.5085368204819667,1.0
0042406F06D87005,electric_bike,16,6,4,4.92,5414.07,40.719383,-73.991479,40.72621788,-73.98379855,1,0.9982649390277081,1.0
0044CA7EE8462F0B,electric_bike,19,2,10,7.97,4413.08,40.686371,-73.99383324,40.676757,-73.983262,0,1.3919165583232294,1.0
00499B2C47A52180,classic_bike,18,5,8,23.8,5779.1,40.73139303364151,-73.98286700248718,40.728846,-74.008591,0,2.185994390353902,0.0
0049F3394FE17102,electric_bike,17,2,5,33.05,6364.07,40.74901271,-73.98848395,40.70583339,-73.94644578,0,5.9666735554708135,1.0
004D1A36B7F348BE,classic_bike,4,4,4,4.82,5838.09,40.73224119,-74.00026394,40.72769,-73.990993,0,0.9307908763312449,1.0
004D979040D09C75,electric_bike,17,7,12,32.07,7260.09,40.77966809007312,-73.98093044757842,40.84731,-73.89981,1,10.157648200206118,1.0
004F8C9FB36A5316,classic_bike,11,3,5,13.1,6932.15,40.7691572,-73.96703464,40.75354681867074,-73.97896572947502,0,2.0056801887149462,1.0
00506DB31FD205B1,classic_bike,17,7,7,14.83,5351.03,40.71602118,-73.99974372,40.71739973,-73.98016555,1,1.657144049357467,1.0
005471296B05069D,electric_bike,9,6,5,23.28,4756.04,40.698458,-73.997178,40.719876,-73.963865,1,3.681890508610117,1.0
00550B55BDFAE9DB,classic_bike,16,3,10,12.95,6072.11,40.740983,-74.001702,40.739445,-73.976806,0,2.104442886150864,1.0
005517321FF974DA,electric_bike,21,1,12,22.7,6824.07,40.76269882,-73.99301222,40.727378693232225,-73.98840844631195,0,3.9465222867052985,1.0
00574E9B33B9AC96,classic_bike,17,5,4,4.62,6247.06,40.746647,-73.993915,40.75066386,-74.00176802,0,0.798200329398796,1.0
005B94C305A37812,electric_bike,21,7,3,18.42,4729.01,40.69681963,-73.93756926,40.66967,-73.9503,1,3.204079178975034,0.0
005C428BDF30A173,classic_bike,17,2,7,3.03,5379.1,40.71745169,-73.95850939,40.716887,-73.963198,0,0.40010888122433574,1.0
005DEC091AAFE915,electric_bike,16,6,7,4.15,8616.06,40.865364,-73.92791,40.865364,-73.92791,1,0.0,1.0
